Sitename,State,Latitude,Longitude,Sampling date,LFMC value,Species collected,Tree,Shurb,Grass
Bago State Forest,New South Wales,-35.646811,148.148314,20141021.0,136.78,,1.0,1.0,1.0
Bago State Forest,New South Wales,-35.646811,148.148314,20141111.0,166.86333333333332,,1.0,1.0,1.0
Bago State Forest,New South Wales,-35.646811,148.148314,20141209.0,189.60666666666665,,1.0,1.0,1.0
Ballan,Victoria,-37.635167,144.221317,20081020.0,260.57,,,,1.0
Ballan,Victoria,-37.635167,144.221317,20081110.0,162.34,,,,1.0
Ballan,Victoria,-37.635167,144.221317,20081201.0,132.66,,,,1.0
Ballan,Victoria,-37.635167,144.221317,20090119.0,95.81,,,,1.0
Blue_mt_gully,New South Wales,-33.657838,150.616076,20130220.0,103.32,,1.0,1.0,1.0
Blue_mt_gully,New South Wales,-33.657838,150.616076,20130320.0,112.08666666666666,,1.0,1.0,1.0
Blue_mt_gully,New South Wales,-33.657838,150.616076,20130402.0,120.52999999999999,,1.0,1.0,1.0
Blue_mt_gully,New South Wales,-33.657838,150.616076,20130424.0,116.73666666666668,,1.0,1.0,1.0
Blue_mt_gully,New South Wales,-33.657838,150.616076,20130514.0,104.17333333333333,,1.0,1.0,1.0
Blue_mt_Ridge,New South Wales,-33.660198,150.617703,20130220.0,104.86,,1.0,1.0,1.0
Blue_mt_Ridge,New South Wales,-33.660198,150.617703,20130320.0,106.86333333333333,,1.0,1.0,1.0
Blue_mt_Ridge,New South Wales,-33.660198,150.617703,20130402.0,115.11666666666667,,1.0,1.0,1.0
Blue_mt_Ridge,New South Wales,-33.660198,150.617703,20130424.0,108.24666666666667,,1.0,1.0,1.0
Blue_mt_Ridge,New South Wales,-33.660198,150.617703,20130514.0,106.85333333333334,,1.0,1.0,1.0
Blue_mt_Ridge,New South Wales,-33.660198,150.617703,20130605.0,117.95666666666666,,1.0,1.0,1.0
Blue_mt_Ridge,New South Wales,-33.660198,150.617703,20130710.0,106.17,,1.0,1.0,1.0
Braidwood-A,New South Wales,-35.406367,149.803217,20060105.0,63.0,,,,1.0
Braidwood-A,New South Wales,-35.406367,149.803217,20060214.0,52.0,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20061016.0,73.2,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20061023.0,56.33,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20061106.0,244.8,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20061116.0,62.7,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20061204.0,28.3,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20061218.0,16.06,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20070111.0,15.6,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20070209.0,41.0,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20070302.0,90.55,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20070314.0,118.5,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20070412.0,102.32,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20070426.0,28.01,,,,1.0
Braidwood-B,New South Wales,-35.42,149.793167,20070509.0,105.46,,,,1.0
